Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
103,0.5138,5.1500000000000005e-05,1.7521367521367521,103,N/A,N/A
104,0.6325,5.2000000000000004e-05,1.7692307692307692,104,N/A,N/A
105,0.0183,5.25e-05,1.7863247863247862,105,N/A,N/A
106,0.011,5.300000000000001e-05,1.8034188034188035,106,N/A,N/A
107,0.4305,5.3500000000000006e-05,1.8205128205128205,107,N/A,N/A
108,0.2252,5.4000000000000005e-05,1.8376068376068377,108,N/A,N/A
109,0.1053,5.45e-05,1.8547008547008548,109,N/A,N/A
110,0.4184,5.500000000000001e-05,1.8717948717948718,110,N/A,N/A
111,0.028,5.550000000000001e-05,1.8888888888888888,111,N/A,N/A
112,0.0168,5.6000000000000006e-05,1.9059829059829059,112,N/A,N/A
113,0.1083,5.65e-05,1.9230769230769231,113,N/A,N/A
114,0.0251,5.6999999999999996e-05,1.9401709401709402,114,N/A,N/A
115,0.0039,5.7499999999999995e-05,1.9572649572649574,115,N/A,N/A
116,0.0008,5.8e-05,1.9743589743589745,116,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9625468164794008,0.9456828885400315
N/A,N/A,N/A,N/A,N/A,0.8586956521739131,0.8836134453781513
