Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
75,0.6471,3.7500000000000003e-05,1.2735042735042734,75,N/A,N/A
76,0.4471,3.8e-05,1.2905982905982907,76,N/A,N/A
77,0.3205,3.85e-05,1.3076923076923077,77,N/A,N/A
78,0.3858,3.9000000000000006e-05,1.3247863247863247,78,N/A,N/A
79,0.3847,3.9500000000000005e-05,1.341880341880342,79,N/A,N/A
80,0.5933,4e-05,1.358974358974359,80,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.8582089552238806,0.8532943537038215
81,0.8502,4.05e-05,1.376068376068376,81,N/A,N/A
82,0.5031,4.1e-05,1.393162393162393,82,N/A,N/A
83,0.3084,4.15e-05,1.4102564102564101,83,N/A,N/A
84,0.2935,4.2e-05,1.4273504273504274,84,N/A,N/A
85,0.1727,4.25e-05,1.4444444444444444,85,N/A,N/A
86,0.2706,4.3e-05,1.4615384615384617,86,N/A,N/A
87,0.2667,4.35e-05,1.4786324786324787,87,N/A,N/A
88,0.4718,4.4000000000000006e-05,1.4957264957264957,88,N/A,N/A
89,0.2305,4.4500000000000004e-05,1.5128205128205128,89,N/A,N/A
90,0.1956,4.5e-05,1.5299145299145298,90,N/A,N/A
91,0.4041,4.55e-05,1.547008547008547,91,N/A,N/A
92,0.2926,4.600000000000001e-05,1.564102564102564,92,N/A,N/A
93,0.3842,4.6500000000000005e-05,1.5811965811965814,93,N/A,N/A
94,0.1915,4.7e-05,1.5982905982905984,94,N/A,N/A
95,0.3661,4.75e-05,1.6153846153846154,95,N/A,N/A
96,0.1439,4.8e-05,1.6324786324786325,96,N/A,N/A
97,0.146,4.85e-05,1.6495726495726495,97,N/A,N/A
98,0.0952,4.9e-05,1.6666666666666665,98,N/A,N/A
99,0.5189,4.9500000000000004e-05,1.6837606837606838,99,N/A,N/A
100,0.1094,5e-05,1.7008547008547008,100,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9253731343283582,0.9306890242374113
101,0.2513,5.05e-05,1.717948717948718,101,N/A,N/A
102,0.3739,5.1000000000000006e-05,1.735042735042735,102,N/A,N/A
103,0.7892,5.1500000000000005e-05,1.7521367521367521,103,N/A,N/A
104,0.2826,5.2000000000000004e-05,1.7692307692307692,104,N/A,N/A
105,0.0386,5.25e-05,1.7863247863247862,105,N/A,N/A
106,0.0547,5.300000000000001e-05,1.8034188034188035,106,N/A,N/A
107,0.4255,5.3500000000000006e-05,1.8205128205128205,107,N/A,N/A
108,0.221,5.4000000000000005e-05,1.8376068376068377,108,N/A,N/A
109,0.5613,5.45e-05,1.8547008547008548,109,N/A,N/A
110,0.4213,5.500000000000001e-05,1.8717948717948718,110,N/A,N/A
111,0.1921,5.550000000000001e-05,1.8888888888888888,111,N/A,N/A
112,0.1319,5.6000000000000006e-05,1.9059829059829059,112,N/A,N/A
113,0.3693,5.65e-05,1.9230769230769231,113,N/A,N/A
114,0.2321,5.6999999999999996e-05,1.9401709401709402,114,N/A,N/A
115,0.1698,5.7499999999999995e-05,1.9572649572649574,115,N/A,N/A
116,0.0418,5.8e-05,1.9743589743589745,116,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.951310861423221,0.9448626550754211
N/A,N/A,N/A,N/A,N/A,0.6413043478260869,0.6494922341696535
