Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
87,0.1242,4.35e-05,1.4786324786324787,87,N/A,N/A
88,0.314,4.4000000000000006e-05,1.4957264957264957,88,N/A,N/A
89,0.1196,4.4500000000000004e-05,1.5128205128205128,89,N/A,N/A
90,0.0911,4.5e-05,1.5299145299145298,90,N/A,N/A
91,0.148,4.55e-05,1.547008547008547,91,N/A,N/A
92,0.1467,4.600000000000001e-05,1.564102564102564,92,N/A,N/A
93,0.5152,4.6500000000000005e-05,1.5811965811965814,93,N/A,N/A
94,0.2217,4.7e-05,1.5982905982905984,94,N/A,N/A
95,0.3265,4.75e-05,1.6153846153846154,95,N/A,N/A
96,0.1246,4.8e-05,1.6324786324786325,96,N/A,N/A
97,0.06,4.85e-05,1.6495726495726495,97,N/A,N/A
98,0.1033,4.9e-05,1.6666666666666665,98,N/A,N/A
99,0.1469,4.9500000000000004e-05,1.6837606837606838,99,N/A,N/A
100,0.1411,5e-05,1.7008547008547008,100,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716,0.9805860805860807
101,0.0522,5.05e-05,1.717948717948718,101,N/A,N/A
102,0.3103,5.1000000000000006e-05,1.735042735042735,102,N/A,N/A
103,0.6801,5.1500000000000005e-05,1.7521367521367521,103,N/A,N/A
104,0.032,5.2000000000000004e-05,1.7692307692307692,104,N/A,N/A
105,0.0311,5.25e-05,1.7863247863247862,105,N/A,N/A
106,0.0291,5.300000000000001e-05,1.8034188034188035,106,N/A,N/A
107,0.4878,5.3500000000000006e-05,1.8205128205128205,107,N/A,N/A
108,0.1522,5.4000000000000005e-05,1.8376068376068377,108,N/A,N/A
109,0.0191,5.45e-05,1.8547008547008548,109,N/A,N/A
110,0.1092,5.500000000000001e-05,1.8717948717948718,110,N/A,N/A
111,0.525,5.550000000000001e-05,1.8888888888888888,111,N/A,N/A
112,0.0303,5.6000000000000006e-05,1.9059829059829059,112,N/A,N/A
113,0.0126,5.65e-05,1.9230769230769231,113,N/A,N/A
114,0.124,5.6999999999999996e-05,1.9401709401709402,114,N/A,N/A
115,0.0268,5.7499999999999995e-05,1.9572649572649574,115,N/A,N/A
116,0.0137,5.8e-05,1.9743589743589745,116,N/A,N/A
117,0.0569,5.85e-05,1.9914529914529915,117,N/A,N/A
118,0.0042,5.9e-05,2.0,118,N/A,N/A
119,0.0089,5.95e-05,2.017094017094017,119,N/A,N/A
120,0.223,6e-05,2.034188034188034,120,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9776119402985075,0.9735545760954111
121,0.0768,6.05e-05,2.051282051282051,121,N/A,N/A
122,0.0229,6.1e-05,2.0683760683760686,122,N/A,N/A
123,0.174,6.15e-05,2.0854700854700856,123,N/A,N/A
124,0.0083,6.2e-05,2.1025641025641026,124,N/A,N/A
125,0.0376,6.25e-05,2.1196581196581197,125,N/A,N/A
126,0.0166,6.3e-05,2.1367521367521367,126,N/A,N/A
127,0.0097,6.35e-05,2.1538461538461537,127,N/A,N/A
128,0.0151,6.400000000000001e-05,2.1709401709401708,128,N/A,N/A
